Cell membrane,Cytoplasm,Endoplasmic reticulum,Extracellular,Golgi apparatus,Lysosome/Vacuole,Membrane,Mitochondrion,Nucleus,Peroxisome,Plastid,predicted_label,true_label
,"(0.61474609, 0.66650391, 0.62695312, 0.75830078, 0.66162109) mean: 0.66562500, var: 0.00253796",,,,,,,,,,Cytoplasm,"Cytoplasm, Cell membrane"
,,,,,,,,"(0.90917969, 0.96240234, 0.91748047, 0.93652344, 0.89257812) mean: 0.92363281, var: 0.00057608",,,Nucleus,Nucleus
"(0.68359375, 0.82910156, 0.75927734, 0.75732422, 0.78417969) mean: 0.76269531, var: 0.00223379",,,,,,"(0.77929688, 0.85107422, 0.77441406, 0.77294922, 0.82373047) mean: 0.80029297, var: 0.00099726",,,,,"Membrane, Cell membrane",Cytoplasm
,"(0.69921875, 0.78369141, 0.78320312, 0.76318359, 0.77050781) mean: 0.75996094, var: 0.00098291",,,,,"(0.54345703, 0.48193359, 0.40600586, 0.52929688, 0.39624023) mean: 0.47138672, var: 0.00371612",,,,,"Membrane, Cytoplasm",Nucleus
,"(0.64160156, 0.70507812, 0.63720703, 0.68554688, 0.75634766) mean: 0.68515625, var: 0.00193228",,,,,,,,,,Cytoplasm,Cytoplasm
,"(0.54345703, 0.53125000, 0.56298828, 0.58984375, 0.67480469) mean: 0.58046875, var: 0.00261702",,,,,,,"(0.94775391, 0.93896484, 0.91015625, 0.92626953, 0.94628906) mean: 0.93388672, var: 0.00019861",,,"Cytoplasm, Nucleus",Nucleus
,"(0.62939453, 0.62304688, 0.63330078, 0.71337891, 0.60546875) mean: 0.64091797, var: 0.00140348",,,,,,,"(0.72265625, 0.73535156, 0.79150391, 0.63916016, 0.75976562) mean: 0.72968750, var: 0.00260054",,,"Cytoplasm, Nucleus",Nucleus
,"(0.53515625, 0.48608398, 0.54638672, 0.55664062, 0.62500000) mean: 0.54985351, var: 0.00199753",,,,,,,"(0.96191406, 0.95605469, 0.91992188, 0.94970703, 0.94824219) mean: 0.94716797, var: 0.00020927",,,"Cytoplasm, Nucleus",Nucleus
,,,,,,,,"(0.90234375, 0.93310547, 0.91210938, 0.90039062, 0.90527344) mean: 0.91064453, var: 0.00014191",,,Nucleus,Nucleus
,,,,,,,,"(0.91748047, 0.92675781, 0.91015625, 0.90185547, 0.94824219) mean: 0.92089844, var: 0.00025434",,,Nucleus,Nucleus
,,,,,,,,"(0.93750000, 0.96386719, 0.93505859, 0.97119141, 0.94384766) mean: 0.95029297, var: 0.00021166",,,Nucleus,Nucleus
,"(0.52978516, 0.50488281, 0.43701172, 0.43310547, 0.45507812) mean: 0.47197266, var: 0.00148874",,,,,,,,,,Cytoplasm,Cytoplasm
,"(0.66601562, 0.64990234, 0.54931641, 0.61083984, 0.58203125) mean: 0.61162109, var: 0.00183645",,,,,,,,,,Cytoplasm,Cytoplasm
,"(0.67871094, 0.73535156, 0.60742188, 0.68896484, 0.74560547) mean: 0.69121094, var: 0.00241781",,,,,,,,,,Cytoplasm,"Cytoplasm, Nucleus"
,"(0.69433594, 0.72802734, 0.70800781, 0.74951172, 0.63378906) mean: 0.70273437, var: 0.00153593",,,,,,,,,,Cytoplasm,"Cytoplasm, Cell membrane"
,"(0.73876953, 0.77978516, 0.69433594, 0.81591797, 0.70361328) mean: 0.74648438, var: 0.00210938",,,,,,,,,,Cytoplasm,Cytoplasm
,,,,,,,,"(0.81250000, 0.80371094, 0.81054688, 0.78271484, 0.92529297) mean: 0.82695313, var: 0.00252920",,,Nucleus,Nucleus
,,,"(0.65527344, 0.60937500, 0.75878906, 0.64355469, 0.73535156) mean: 0.68046875, var: 0.00323959",,,,,,,,Extracellular,Cytoplasm
,,,"(0.71044922, 0.55175781, 0.79003906, 0.69384766, 0.64892578) mean: 0.67900391, var: 0.00612684",,,,,,,,Extracellular,Cell membrane
,"(0.85107422, 0.83349609, 0.78369141, 0.84570312, 0.78564453) mean: 0.81992187, var: 0.00086140",,,,,,,,,,Cytoplasm,Nucleus
