epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,20,,,0.4108118712902069
0,20,0.5401759147644043,,
1,41,,,0.32535427808761597
1,41,0.37289944291114807,,
2,49,,0.3080841302871704,
2,62,,,0.28138744831085205
2,62,0.3113391101360321,,
3,83,,,0.2531925439834595
3,83,0.27587762475013733,,
4,99,,0.2535642981529236,
4,104,,,0.22773444652557373
4,104,0.24715059995651245,,
5,125,,,0.20925328135490417
5,125,0.22624528408050537,,
6,146,,,0.19470378756523132
6,146,0.20903627574443817,,
7,149,,0.18430887162685394,
7,167,,,0.1824313849210739
7,167,0.19562694430351257,,
8,188,,,0.1717352271080017
8,188,0.183089479804039,,
9,199,,0.18583796918392181,
9,209,,,0.16247737407684326
9,209,0.17207472026348114,,
10,230,,,0.15444600582122803
10,230,0.16369538009166718,,
11,249,,0.15309445559978485,
11,251,,,0.14739347994327545
11,251,0.1564573496580124,,
12,272,,,0.14117708802223206
12,272,0.14893637597560883,,
13,293,,,0.13608630001544952
13,293,0.14276215434074402,,
14,299,,0.13641458749771118,
14,314,,,0.13098032772541046
14,314,0.13721300661563873,,
15,335,,,0.12696672976016998
15,335,0.13207463920116425,,
16,349,,0.12815305590629578,
16,356,,,0.12323735654354095
16,356,0.12787891924381256,,
17,377,,,0.11976870894432068
17,377,0.12361997365951538,,
18,398,,,0.11691443622112274
18,398,0.11998558044433594,,
19,399,,0.11922825872898102,
19,419,,,0.11403452605009079
19,419,0.11663269996643066,,
20,440,,,0.11210911720991135
20,440,0.11362352967262268,,
21,449,,0.10879949480295181,
21,461,,,0.10938812047243118
21,461,0.11033565551042557,,
22,482,,,0.10773689299821854
22,482,0.10774646699428558,,
23,499,,0.10886544734239578,
23,503,,,0.10586454719305038
23,503,0.1052427664399147,,
24,524,,,0.1038793995976448
24,524,0.10275717824697495,,
25,545,,,0.10240272432565689
25,545,0.10073985159397125,,
26,549,,0.09968448430299759,
26,566,,,0.10041647404432297
26,566,0.09813519567251205,,
27,587,,,0.09918513149023056
27,587,0.0967194139957428,,
28,599,,0.0877235010266304,
28,608,,,0.09779463708400726
28,608,0.09443453699350357,,
29,629,,,0.0963321253657341
29,629,0.09255615621805191,,
30,649,,0.08203276991844177,
30,650,,,0.09509595483541489
30,650,0.09039977937936783,,
31,671,,,0.09481716901063919
31,671,0.08926090598106384,,
32,692,,,0.09304233640432358
32,692,0.08707065880298615,,
33,699,,0.09081138670444489,
33,713,,,0.09225071966648102
33,713,0.0856505036354065,,
34,734,,,0.09080027043819427
34,734,0.08424502611160278,,
35,749,,0.0836772695183754,
35,755,,,0.09005887061357498
35,755,0.082665354013443,,
36,776,,,0.08945395052433014
36,776,0.08135280013084412,,
37,797,,,0.08827047795057297
37,797,0.0796046182513237,,
38,799,,0.09197090566158295,
38,818,,,0.08752917498350143
38,818,0.07915958017110825,,
39,839,,,0.08765759319067001
39,839,0.07774420082569122,,
40,849,,0.06592653691768646,
40,860,,,0.08631358295679092
40,860,0.07631770521402359,,
41,881,,,0.08575300872325897
41,881,0.07461508363485336,,
42,899,,0.06854280084371567,
42,902,,,0.08495726436376572
42,902,0.07383795082569122,,
43,923,,,0.0845586284995079
43,923,0.07307165116071701,,
44,944,,,0.08355750143527985
44,944,0.07186339795589447,,
45,949,,0.07326965779066086,
45,965,,,0.0840262770652771
45,965,0.07050333172082901,,
46,986,,,0.0827389657497406
46,986,0.06993401050567627,,
47,999,,0.07201303541660309,
47,1007,,,0.08279833942651749
47,1007,0.0688876062631607,,
48,1028,,,0.08190922439098358
48,1028,0.06792151182889938,,
49,1049,,0.06160314381122589,
49,1049,,,0.08194414526224136
49,1049,0.06724757701158524,,
50,1070,,,0.081715427339077
50,1070,0.06615432351827621,,
51,1091,,,0.08137223869562149
51,1091,0.0650818720459938,,
52,1099,,0.062170375138521194,
52,1112,,,0.0813828781247139
52,1112,0.06471680849790573,,
53,1133,,,0.07994901388883591
53,1133,0.06379112601280212,,
54,1149,,0.04706293344497681,
54,1154,,,0.0807877853512764
54,1154,0.06351340562105179,,
55,1175,,,0.07987756282091141
55,1175,0.06267488747835159,,
56,1196,,,0.0794203132390976
56,1196,0.06184186786413193,,
57,1199,,0.06254927068948746,
57,1217,,,0.07905435562133789
57,1217,0.06135590374469757,,
58,1238,,,0.07987485080957413
58,1238,0.06037534400820732,,
59,1249,,0.05573755502700806,
59,1259,,,0.07898566126823425
59,1259,0.059308506548404694,,
60,1280,,,0.07900086790323257
60,1280,0.059534039348363876,,
61,1299,,0.045962948352098465,
61,1301,,,0.07789767533540726
61,1301,0.05932017043232918,,
62,1322,,,0.07879261672496796
62,1322,0.05860106647014618,,
63,1343,,,0.07820413261651993
63,1343,0.057615987956523895,,
64,1349,,0.05186406150460243,
64,1364,,,0.07794040441513062
64,1364,0.05716981366276741,,
65,1385,,,0.07762064039707184
65,1385,0.05747038498520851,,
66,1399,,0.04033595323562622,
66,1406,,,0.07743708789348602
66,1406,0.05641353130340576,,
67,1427,,,0.07736656814813614
67,1427,0.05596195533871651,,
68,1448,,,0.07675085216760635
68,1448,0.05530649796128273,,
69,1449,,0.048732154071331024,
69,1469,,,0.07651306688785553
69,1469,0.05501001328229904,,
70,1490,,,0.07622326910495758
70,1490,0.054461780935525894,,
71,1499,,0.048080410808324814,
71,1511,,,0.07573592662811279
71,1511,0.054134976118803024,,
72,1532,,,0.07678481191396713
72,1532,0.05323902145028114,,
73,1549,,0.04439561441540718,
73,1553,,,0.0755930170416832
73,1553,0.05342135578393936,,
74,1574,,,0.075581856071949
74,1574,0.05272781103849411,,
75,1595,,,0.07515524327754974
75,1595,0.0526399202644825,,
76,1599,,0.05107797682285309,
76,1616,,,0.07620237022638321
76,1616,0.05216735228896141,,
77,1637,,,0.07593171298503876
77,1637,0.05187636986374855,,
78,1649,,0.05620254576206207,
78,1658,,,0.07439030706882477
78,1658,0.051148947328329086,,
79,1679,,,0.07488015294075012
79,1679,0.050638630986213684,,
80,1699,,0.0567956380546093,
80,1700,,,0.0756334438920021
80,1700,0.05039125308394432,,
81,1721,,,0.07549859583377838
81,1721,0.04957573860883713,,
82,1742,,,0.07431144267320633
82,1742,0.049784284085035324,,
83,1749,,0.04166688770055771,
83,1763,,,0.07451571524143219
83,1763,0.049490004777908325,,
84,1784,,,0.07473702728748322
84,1784,0.048994094133377075,,
85,1799,,0.04353603348135948,
85,1805,,,0.07543295621871948
85,1805,0.04864192008972168,,
86,1826,,,0.07381205260753632
86,1826,0.04835868626832962,,
87,1847,,,0.07434266805648804
87,1847,0.047962695360183716,,
88,1849,,0.05021633952856064,
88,1868,,,0.07430315762758255
88,1868,0.04774398356676102,,
89,1889,,,0.07436467707157135
89,1889,0.04712307080626488,,
90,1899,,0.03460446745157242,
90,1910,,,0.07302194833755493
90,1910,0.047336213290691376,,
91,1931,,,0.0732710063457489
91,1931,0.04699833691120148,,
92,1949,,0.042598988860845566,
92,1952,,,0.07410119473934174
92,1952,0.046403124928474426,,
93,1973,,,0.07255581766366959
93,1973,0.04615287110209465,,
94,1994,,,0.07410242408514023
94,1994,0.04616739600896835,,
95,1999,,0.04976462945342064,
95,2015,,,0.07348216325044632
95,2015,0.04582177847623825,,
96,2036,,,0.07334151864051819
96,2036,0.0454697422683239,,
97,2049,,0.03489557281136513,
97,2057,,,0.07214517891407013
97,2057,0.04521999508142471,,
98,2078,,,0.07280980050563812
98,2078,0.0449901819229126,,
99,2099,,0.05073443800210953,
99,2099,,,0.0724833682179451
99,2099,0.04483729600906372,,
100,2120,,,0.0734030082821846
100,2120,0.044512588530778885,,
101,2141,,,0.0723651573061943
101,2141,0.043836645781993866,,
102,2149,,0.0402538888156414,
102,2162,,,0.07275766134262085
102,2162,0.04304162785410881,,
