Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
Q28165,Cytoplasm|Nucleus,Nuclear localization signal,0.6365000009536743,0.7814000248908997,0.01889999955892563,0.09839999675750732,0.051600001752376556,0.0010000000474974513,0.13779999315738678,0.05339999869465828,0.020400000736117363,0.0008999999845400453
Q86U42,Cytoplasm|Nucleus,Nuclear localization signal,0.6349999904632568,0.7813000082969666,0.019600000232458115,0.09860000014305115,0.05299999937415123,0.0010000000474974513,0.13910000026226044,0.05339999869465828,0.020500000566244125,0.0008999999845400453
Q0GA42,Cell membrane,Signal peptide|Transmembrane domain,0.26660001277923584,0.13199999928474426,0.045899998396635056,0.7402999997138977,0.15440000593662262,0.003000000026077032,0.361299991607666,0.5403000116348267,0.32420000433921814,0.016200000420212746
P82349,Cell membrane,Signal peptide|Transmembrane domain,0.20499999821186066,0.2563000023365021,0.05829999968409538,0.6273000240325928,0.032999999821186066,0.002400000113993883,0.41370001435279846,0.4523000121116638,0.41440001130104065,0.005400000140070915
Q7L5N1,Cytoplasm,,0.5511000156402588,0.48510000109672546,0.050700001418590546,0.05009999871253967,0.1467999964952469,0.02710000053048134,0.12549999356269836,0.22830000519752502,0.12349999696016312,0.039799999445676804
Q96S94,Nucleus,Nuclear localization signal,0.2240999937057495,0.8912000060081482,0.0625,0.12950000166893005,0.07810000330209732,0.0007999999797903001,0.05869999900460243,0.013399999588727951,0.030400000512599945,0.0005000000237487257
Q9CQ25,Cytoplasm|Nucleus,Nuclear localization signal,0.5349000096321106,0.7860000133514404,0.019099999219179153,0.0997999981045723,0.10019999742507935,0.018300000578165054,0.0949999988079071,0.08540000021457672,0.125900000333786,0.034299999475479126
Q96P70,Cytoplasm|Nucleus,Nuclear export signal,0.5633000135421753,0.7129999995231628,0.005100000184029341,0.06880000233650208,0.053700000047683716,0.005799999926239252,0.0820000022649765,0.09149999916553497,0.24889999628067017,0.0012000000569969416
P63086,Cytoplasm|Nucleus,Nuclear export signal,0.6071000099182129,0.6395999789237976,0.014800000004470348,0.3779999911785126,0.16410000622272491,0.0017999999690800905,0.05559999868273735,0.11720000207424164,0.0892999991774559,0.05119999870657921
Q9UID3,Cytoplasm|Golgi apparatus,Nuclear localization signal|Nuclear export signal,0.6365000009536743,0.31769999861717224,0.16580000519752502,0.28299999237060547,0.12950000166893005,0.0006000000284984708,0.21240000426769257,0.5489000082015991,0.7160999774932861,0.004600000102072954
Q9SE42,Cytoplasm,,0.7713000178337097,0.3508000075817108,0.015799999237060547,0.2013999968767166,0.3950999975204468,0.10329999774694443,0.2071000039577484,0.20319999754428864,0.21889999508857727,0.018400000408291817
Q01167,Nucleus,Nuclear localization signal,0.3089999854564667,0.9520000219345093,0.0414000004529953,0.0478999987244606,0.038600001484155655,0.0003000000142492354,0.014100000262260437,0.029600000008940697,0.02879999950528145,0.00019999999494757503
P21708,Cytoplasm|Nucleus,Nuclear export signal,0.6208999752998352,0.585099995136261,0.015599999576807022,0.36660000681877136,0.17720000445842743,0.00139999995008111,0.06199999898672104,0.0957999974489212,0.09719999879598618,0.02500000037252903
Q8CH72,Cytoplasm,Nuclear localization signal,0.6697999835014343,0.3959999978542328,0.054499998688697815,0.1396999955177307,0.28690001368522644,0.009800000116229057,0.14790000021457672,0.3337000012397766,0.3043000102043152,0.012000000104308128
P51788,Cell membrane,Transmembrane domain,0.17630000412464142,0.21789999306201935,0.024700000882148743,0.7199000120162964,0.12680000066757202,0.000699999975040555,0.25270000100135803,0.5070000290870667,0.4691999852657318,0.008200000040233135
Q8BKC5,Cytoplasm|Nucleus,Nuclear export signal,0.6715999841690063,0.7667999863624573,0.009200000204145908,0.19529999792575836,0.06880000233650208,0.003100000089034438,0.1264999955892563,0.0917000025510788,0.09319999814033508,0.006300000008195639
Q9NXW9,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.684499979019165,0.7767000198364258,0.09570000320672989,0.10499999672174454,0.31119999289512634,0.005100000184029341,0.13339999318122864,0.05420000106096268,0.21170000731945038,0.029100000858306885
P86790,Cytoplasm|Lysosome/Vacuole,,0.5697000026702881,0.24120000004768372,0.03020000085234642,0.31529998779296875,0.07199999690055847,0.0007999999797903001,0.39910000562667847,0.8411999940872192,0.5127000212669373,0.0019000000320374966
