ACC,pred_Membrane,pred_Cytoplasm,pred_Nucleus,pred_Extracellular,pred_Cell membrane,pred_Mitochondrion,pred_Plastid,pred_Endoplasmic reticulum,pred_Lysosome/Vacuole,pred_Golgi apparatus,pred_Peroxisome,pred_loc_Membrane,pred_loc_Cytoplasm,pred_loc_Nucleus,pred_loc_Extracellular,pred_loc_Cell membrane,pred_loc_Mitochondrion,pred_loc_Plastid,pred_loc_Endoplasmic reticulum,pred_loc_Lysosome/Vacuole,pred_loc_Golgi apparatus,pred_loc_Peroxisome,true_loc_Membrane,true_loc_Cytoplasm,true_loc_Nucleus,true_loc_Extracellular,true_loc_Cell membrane,true_loc_Mitochondrion,true_loc_Plastid,true_loc_Endoplasmic reticulum,true_loc_Lysosome/Vacuole,true_loc_Golgi apparatus,true_loc_Peroxisome
Q96S94,0.25976562,0.22558594,0.91015625,0.040283203,0.11425781,0.07714844,0.0021209717,0.048828125,0.036865234,0.052734375,0.0013275146,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9CQ25,0.13769531,0.53515625,0.8203125,0.030639648,0.11425781,0.10986328,0.01977539,0.13574219,0.08886719,0.18847656,0.029785156,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q8CH72,0.12988281,0.71484375,0.484375,0.04272461,0.09277344,0.14257812,0.012451172,0.09033203,0.26953125,0.25585938,0.004333496,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P51788,0.83203125,0.20019531,0.25585938,0.041992188,0.6015625,0.18164062,0.0012054443,0.296875,0.53515625,0.4296875,0.00970459,True,False,False,False,True,False,False,False,True,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P23610,0.421875,0.6015625,0.50390625,0.095214844,0.45507812,0.21582031,0.00014019012,0.33203125,0.5703125,0.44140625,0.014526367,False,True,False,False,False,False,False,False,True,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Q5VYK3,0.44140625,0.55078125,0.609375,0.02722168,0.3125,0.26953125,0.03515625,0.31640625,0.26367188,0.40234375,0.00592041,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Q4AE70,0.2109375,0.6484375,0.7265625,0.05102539,0.19335938,0.17089844,0.0016479492,0.11767578,0.18554688,0.28125,0.010681152,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9BZM5,0.55078125,0.21191406,0.122558594,0.29882812,0.62890625,0.103515625,0.001701355,0.56640625,0.27929688,0.22949219,0.083984375,True,False,False,False,True,False,False,False,False,False,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Q5EA95,0.12597656,0.62890625,0.64453125,0.02722168,0.20800781,0.018554688,0.0025482178,0.061035156,0.08642578,0.38867188,0.0009994507,False,True,True,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q969F1,0.071777344,0.5078125,0.80859375,0.03466797,0.099609375,0.1484375,0.037353516,0.115722656,0.111328125,0.08496094,0.020629883,False,True,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9NVF7,0.19238281,0.2890625,0.8828125,0.05029297,0.1640625,0.16210938,0.010314941,0.08496094,0.03173828,0.053466797,0.0053710938,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q96KQ7,0.07910156,0.32421875,0.88671875,0.07373047,0.05419922,0.080566406,0.009155273,0.13085938,0.12988281,0.14160156,0.0031738281,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P20108,0.33007812,0.14257812,0.122558594,0.05029297,0.075683594,0.97265625,0.06738281,0.064453125,0.034179688,0.07080078,0.14648438,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q5VY80,0.546875,0.22167969,0.111328125,0.29882812,0.6328125,0.106933594,0.0014572144,0.578125,0.28125,0.23535156,0.07910156,True,False,False,False,True,False,False,False,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Q10MC0,0.28125,0.17480469,0.12158203,0.06542969,0.06298828,0.76953125,0.4296875,0.14746094,0.064453125,0.14648438,0.14550781,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q6VAK4,0.19726562,0.85546875,0.27734375,0.36328125,0.29882812,0.05493164,0.009399414,0.17871094,0.36132812,0.34179688,0.005065918,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6VAK3,0.17675781,0.890625,0.25585938,0.35351562,0.3125,0.061767578,0.009155273,0.15234375,0.3359375,0.328125,0.012451172,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9JLZ3,0.29492188,0.14355469,0.15039062,0.12890625,0.103515625,0.921875,0.00491333,0.10986328,0.064453125,0.13378906,0.25976562,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9Y584,0.83203125,0.16601562,0.17578125,0.060058594,0.15039062,0.8515625,0.41015625,0.15917969,0.24316406,0.12011719,0.016357422,True,False,False,False,False,True,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q9BZM6,0.546875,0.26367188,0.11425781,0.37109375,0.625,0.10498047,0.0021209717,0.54296875,0.30273438,0.25976562,0.08886719,True,False,False,False,True,False,False,False,False,False,False,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Q6H3X3-2,0.30273438,0.23339844,0.17675781,0.5625,0.33203125,0.10253906,0.0012435913,0.62109375,0.27539062,0.16992188,0.091308594,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q9NXG6,0.53125,0.16601562,0.22167969,0.23242188,0.15917969,0.111328125,0.0053710938,0.734375,0.33203125,0.59375,0.103515625,True,False,False,False,False,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
