Category,Mean Variance,Std Deviation
Membrane,0.0001254410918727915,0.00027114150697557293
Cytoplasm,8.989133568904593e-05,0.0001414996034397775
Nucleus,0.00017290086572438164,0.0004293195273847089
Extracellular,0.00020768715547703177,0.0005636655142912032
Cell membrane,0.00017699334982332156,0.0003922397658290258
Mitochondrion,0.00014626243816254417,0.00034160230660936055
Plastid,6.873284805653711e-05,0.0003650662473425089
Endoplasmic reticulum,0.00017052178798586574,0.0003509148851077435
Lysosome/Vacuole,0.00025468806007067135,0.0006297113153847098
Golgi apparatus,0.000174248148409894,0.0003354529174091817
Peroxisome,0.0002302212367491166,0.0011384879579631518
