# Hyperparameter Configuration: BATCH_SIZE=128, REG_LOSS_MULT=0.05, SUP_LOSS_MULT=0.05
Metric,Value
Subset Accuracy,0.2748980780430984
Jaccard,0.449922345175694
MicroF1,0.5226219377620834
MacroF1,0.23366250175639217
MCC_Membrane,0.0
MCC_Cytoplasm,0.3157744045435293
MCC_Nucleus,0.3981546961005024
MCC_Extracellular,0.0
MCC_Cell membrane,0.3241280472181935
MCC_Mitochondrion,0.603442018002624
MCC_Plastid,0.0
MCC_Endoplasmic reticulum,0.1504301539250927
MCC_Lysosome/Vacuole,-0.005791290975186862
MCC_Golgi apparatus,0.1773527126567582
MCC_Peroxisome,-0.0034576743387052596
