# Hyperparameter Configuration: BATCH_SIZE=128, REG_LOSS_MULT=0.05, SUP_LOSS_MULT=0.05
Category,Mean Variance,Std Deviation
Membrane,0.0020542726849155503,0.0028257908726309453
Cytoplasm,0.0020232000582411183,0.0023079500790947013
Nucleus,0.0025243069889341876,0.0032507885630995905
Extracellular,0.0046431163075131045,0.007823749127714722
Cell membrane,0.0021807057076295862,0.003571363335648189
Mitochondrion,0.004063564997087945,0.006191520254912899
Plastid,0.0013912924286546302,0.004465074018927318
Endoplasmic reticulum,0.0037345679673849736,0.0061602791307659105
Lysosome/Vacuole,0.004509764123471171,0.005901102002703495
Golgi apparatus,0.004865208386721025,0.006567893183470257
Peroxisome,0.00446091613278975,0.012470514930662018
