# Hyperparameter Configuration: BATCH_SIZE=256, REG_LOSS_MULT=0.1, SUP_LOSS_MULT=0.1
Category,Mean Variance,Std Deviation
Membrane,0.0020449045428072216,0.0030354023127998116
Cytoplasm,0.00201197565521258,0.0023854872735437414
Nucleus,0.002787634071054164,0.003380199451536254
Extracellular,0.003989499184624345,0.006754826788221919
Cell membrane,0.002579982527664531,0.004114002161088736
Mitochondrion,0.004162175131042516,0.006253551640716254
Plastid,0.0014559428072218987,0.0042331925164131295
Endoplasmic reticulum,0.003307814036109493,0.004936137172278538
Lysosome/Vacuole,0.004378846126965638,0.006168376016031728
Golgi apparatus,0.0045113726266744324,0.006421665264022619
Peroxisome,0.0050479041351193955,0.012189275574738305
