ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Expected_Entropy,Mutual_Information,Uncertainty_Level
ENSP00000409472,"mean: 0.288794, var: 0.001559","mean: 0.428076, var: 0.004286","mean: 0.393604, var: 0.003150","mean: 0.314063, var: 0.003211","mean: 0.201343, var: 0.000288","mean: 0.290625, var: 0.006624","mean: 0.068558, var: 0.002011","mean: 0.280103, var: 0.002950","mean: 0.246338, var: 0.003203","mean: 0.322559, var: 0.001237","mean: 0.230804, var: 0.040360",3.7231639203235942,0.2915087774325573,3.431655142891037,High
ENSP00000374443,"mean: 0.320850, var: 0.000888","mean: 0.544775, var: 0.005506","mean: 0.407080, var: 0.000476","mean: 0.081070, var: 0.000828","mean: 0.251904, var: 0.002736","mean: 0.200940, var: 0.008973","mean: 0.031117, var: 0.000293","mean: 0.269409, var: 0.007932","mean: 0.301709, var: 0.006941","mean: 0.379932, var: 0.001610","mean: 0.061987, var: 0.005780",3.2978353998450434,0.21822981876251274,3.0796055810825305,High
ENSP00000352794,"mean: 0.412549, var: 0.005515","mean: 0.665527, var: 0.004760","mean: 0.318945, var: 0.003483","mean: 0.193787, var: 0.005306","mean: 0.452002, var: 0.008426","mean: 0.181750, var: 0.004364","mean: 0.033653, var: 0.000186","mean: 0.391943, var: 0.013279","mean: 0.266968, var: 0.013178","mean: 0.536377, var: 0.015068","mean: 0.068825, var: 0.001652",3.3396791086265356,0.35542955177955377,2.984249556846982,High
ENSP00000300648,"mean: 0.378809, var: 0.000852","mean: 0.533936, var: 0.018673","mean: 0.586133, var: 0.003545","mean: 0.028284, var: 0.000327","mean: 0.257178, var: 0.006963","mean: 0.437256, var: 0.001669","mean: 0.095331, var: 0.002421","mean: 0.213965, var: 0.004606","mean: 0.218750, var: 0.002757","mean: 0.276904, var: 0.006165","mean: 0.097500, var: 0.010874",3.296660752418045,0.28439486319659696,3.012265889221448,High
ENSP00000382610,"mean: 0.314160, var: 0.003619","mean: 0.617773, var: 0.003025","mean: 0.344482, var: 0.000498","mean: 0.213086, var: 0.002091","mean: 0.409961, var: 0.009977","mean: 0.228296, var: 0.001360","mean: 0.009570, var: 0.000068","mean: 0.251709, var: 0.004812","mean: 0.244727, var: 0.004241","mean: 0.376514, var: 0.005233","mean: 0.075705, var: 0.002739",3.3600006273740273,0.20267072742326314,3.157329899950764,High
ENSP00000416289,"mean: 0.249316, var: 0.002618","mean: 0.477100, var: 0.002500","mean: 0.540430, var: 0.013966","mean: 0.121143, var: 0.000578","mean: 0.182031, var: 0.002927","mean: 0.323413, var: 0.006035","mean: 0.013110, var: 0.000101","mean: 0.378540, var: 0.009058","mean: 0.245746, var: 0.012088","mean: 0.246405, var: 0.014582","mean: 0.127438, var: 0.008853",3.3399792356723137,0.3428362965280316,2.997142939144282,High
ENSP00000450998,"mean: 0.487500, var: 0.010739","mean: 0.575195, var: 0.004672","mean: 0.355469, var: 0.003485","mean: 0.268933, var: 0.009621","mean: 0.587939, var: 0.020027","mean: 0.250928, var: 0.006782","mean: 0.052870, var: 0.001135","mean: 0.339551, var: 0.003449","mean: 0.251733, var: 0.014202","mean: 0.509033, var: 0.014075","mean: 0.104456, var: 0.006039",3.4975354137158075,0.42887491897536517,3.0686604947404423,High
ENSP00000419330,"mean: 0.302441, var: 0.000500","mean: 0.551367, var: 0.004526","mean: 0.359814, var: 0.006074","mean: 0.184265, var: 0.002615","mean: 0.150891, var: 0.000432","mean: 0.384497, var: 0.007240","mean: 0.041315, var: 0.000726","mean: 0.344409, var: 0.008303","mean: 0.283643, var: 0.002792","mean: 0.616602, var: 0.003818","mean: 0.118227, var: 0.008097",3.42901136357432,0.2355004840747635,3.1935108794995566,High
ENSP00000390590,"mean: 0.303979, var: 0.015789","mean: 0.648730, var: 0.004883","mean: 0.292920, var: 0.006717","mean: 0.205481, var: 0.008305","mean: 0.392163, var: 0.019857","mean: 0.318115, var: 0.013399","mean: 0.016491, var: 0.000176","mean: 0.150073, var: 0.001701","mean: 0.135156, var: 0.001032","mean: 0.207324, var: 0.001423","mean: 0.213379, var: 0.008371",3.3376116385611896,0.3693218991507113,2.968289739410478,High
ENSP00000358106,"mean: 0.213281, var: 0.001813","mean: 0.578174, var: 0.007804","mean: 0.350146, var: 0.003000","mean: 0.163916, var: 0.014963","mean: 0.287598, var: 0.006837","mean: 0.155334, var: 0.001060","mean: 0.055862, var: 0.003468","mean: 0.308301, var: 0.018323","mean: 0.129407, var: 0.004544","mean: 0.168420, var: 0.001331","mean: 0.162137, var: 0.007435",3.3413739893817787,0.3336574761296561,3.0077165132521224,High
ENSP00000505465,"mean: 0.482715, var: 0.010881","mean: 0.422070, var: 0.003226","mean: 0.248584, var: 0.001014","mean: 0.068091, var: 0.000646","mean: 0.329004, var: 0.011287","mean: 0.412622, var: 0.010774","mean: 0.012379, var: 0.000171","mean: 0.361816, var: 0.006624","mean: 0.489502, var: 0.008976","mean: 0.278760, var: 0.022461","mean: 0.426501, var: 0.050935",3.467040998135275,0.49278108530783227,2.974259912827443,High
ENSP00000406144,"mean: 0.474854, var: 0.012179","mean: 0.425488, var: 0.004251","mean: 0.260620, var: 0.001224","mean: 0.057977, var: 0.000238","mean: 0.336597, var: 0.011292","mean: 0.406958, var: 0.010020","mean: 0.013518, var: 0.000159","mean: 0.364893, var: 0.006914","mean: 0.496045, var: 0.007808","mean: 0.280408, var: 0.022072","mean: 0.411230, var: 0.049472",3.460951857958708,0.4904188623745338,2.9705329955841746,High
ENSP00000506632,"mean: 0.605566, var: 0.002652","mean: 0.303418, var: 0.002787","mean: 0.349561, var: 0.000651","mean: 0.264941, var: 0.008370","mean: 0.239136, var: 0.001748","mean: 0.333643, var: 0.012013","mean: 0.022330, var: 0.000143","mean: 0.455322, var: 0.023777","mean: 0.484131, var: 0.028626","mean: 0.520264, var: 0.002185","mean: 0.094620, var: 0.005147",3.4506714652743935,0.37355692098024423,3.077114544294149,High
ENSP00000354874,"mean: 0.410352, var: 0.031574","mean: 0.423389, var: 0.003381","mean: 0.473584, var: 0.003249","mean: 0.249072, var: 0.009163","mean: 0.209888, var: 0.004116","mean: 0.569629, var: 0.002516","mean: 0.103357, var: 0.001660","mean: 0.486914, var: 0.035989","mean: 0.241455, var: 0.012646","mean: 0.431006, var: 0.014977","mean: 0.355127, var: 0.028182",3.7363517348603654,0.5766644695448361,3.1596872653155295,High
ENSP00000419516,"mean: 0.652832, var: 0.002176","mean: 0.210840, var: 0.000562","mean: 0.269824, var: 0.001086","mean: 0.083881, var: 0.001378","mean: 0.143201, var: 0.000766","mean: 0.495264, var: 0.003519","mean: 0.054175, var: 0.001336","mean: 0.564063, var: 0.007129","mean: 0.189404, var: 0.001129","mean: 0.413281, var: 0.004915","mean: 0.201331, var: 0.005432",3.2782142569834156,0.16562699054775998,3.1125872664356558,High
