ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Expected_Entropy,Mutual_Information,Uncertainty_Level
ENSP00000507895,"mean: 0.249707, var: 0.006017","mean: 0.625342, var: 0.009535","mean: 0.474219, var: 0.010404","mean: 0.396790, var: 0.054930","mean: 0.220154, var: 0.004576","mean: 0.168896, var: 0.002625","mean: 0.025079, var: 0.000486","mean: 0.078632, var: 0.000584","mean: 0.032325, var: 0.000304","mean: 0.152051, var: 0.001421","mean: 0.017948, var: 0.000081",2.756052782677855,0.34287334779455697,2.413179434883298,Moderate
ENSP00000496878,"mean: 0.704785, var: 0.011179","mean: 0.231616, var: 0.000106","mean: 0.099146, var: 0.000175","mean: 0.426123, var: 0.019279","mean: 0.670898, var: 0.011501","mean: 0.151440, var: 0.003597","mean: 0.011735, var: 0.000051","mean: 0.238110, var: 0.000485","mean: 0.428467, var: 0.003522","mean: 0.334277, var: 0.001043","mean: 0.079266, var: 0.001010",3.055858725332463,0.23867748194864663,2.8171812433838164,Moderate
ENSP00000496254,"mean: 0.406885, var: 0.005953","mean: 0.705371, var: 0.002724","mean: 0.225854, var: 0.001771","mean: 0.083551, var: 0.001081","mean: 0.406592, var: 0.007838","mean: 0.182568, var: 0.002162","mean: 0.007224, var: 0.000030","mean: 0.172571, var: 0.002599","mean: 0.227075, var: 0.000788","mean: 0.244482, var: 0.003366","mean: 0.046127, var: 0.001277",2.9936429282305346,0.16555748818505076,2.828085440045484,Moderate
ENSP00000495099,"mean: 0.302295, var: 0.000636","mean: 0.627246, var: 0.001610","mean: 0.445898, var: 0.002351","mean: 0.113281, var: 0.000324","mean: 0.207056, var: 0.001021","mean: 0.178638, var: 0.000788","mean: 0.025984, var: 0.000161","mean: 0.297583, var: 0.004191","mean: 0.334082, var: 0.010708","mean: 0.507275, var: 0.006411","mean: 0.037766, var: 0.000736",3.184644707154397,0.1551510518791045,3.0294936552752922,Moderate
ENSP00000478783,"mean: 0.288916, var: 0.001380","mean: 0.436426, var: 0.002259","mean: 0.526758, var: 0.003976","mean: 0.070581, var: 0.001293","mean: 0.139685, var: 0.000484","mean: 0.125732, var: 0.001244","mean: 0.019430, var: 0.000161","mean: 0.201575, var: 0.005120","mean: 0.193781, var: 0.006062","mean: 0.375488, var: 0.003080","mean: 0.029559, var: 0.001186",2.9703225667099415,0.1506091002459306,2.819713466464011,Moderate
ENSP00000466285,"mean: 0.289185, var: 0.001956","mean: 0.564160, var: 0.009954","mean: 0.321289, var: 0.000295","mean: 0.348779, var: 0.018097","mean: 0.269043, var: 0.003211","mean: 0.416309, var: 0.004380","mean: 0.008372, var: 0.000056","mean: 0.203101, var: 0.002979","mean: 0.067725, var: 0.000017","mean: 0.135107, var: 0.000754","mean: 0.027809, var: 0.000972",3.0481386122407255,0.20553609608933246,2.842602516151393,Moderate
ENSP00000453443,"mean: 0.292871, var: 0.003109","mean: 0.646875, var: 0.001347","mean: 0.383496, var: 0.005402","mean: 0.101776, var: 0.001965","mean: 0.363428, var: 0.006093","mean: 0.181738, var: 0.001008","mean: 0.005099, var: 0.000024","mean: 0.186035, var: 0.006998","mean: 0.125232, var: 0.000218","mean: 0.169165, var: 0.001596","mean: 0.025407, var: 0.000391",2.9131647197004136,0.15551224158333082,2.7576524781170826,Moderate
ENSP00000431179,"mean: 0.313062, var: 0.009979","mean: 0.662402, var: 0.006078","mean: 0.360645, var: 0.002940","mean: 0.130927, var: 0.005277","mean: 0.333472, var: 0.018499","mean: 0.170996, var: 0.001322","mean: 0.024564, var: 0.000314","mean: 0.168701, var: 0.001836","mean: 0.214722, var: 0.002805","mean: 0.477979, var: 0.002397","mean: 0.069653, var: 0.000456",3.1986318737652315,0.2529255301943979,2.9457063435708335,Moderate
ENSP00000431129,"mean: 0.381641, var: 0.001155","mean: 0.712305, var: 0.003111","mean: 0.231567, var: 0.002703","mean: 0.071393, var: 0.000936","mean: 0.331177, var: 0.004061","mean: 0.262842, var: 0.002289","mean: 0.004204, var: 0.000009","mean: 0.290210, var: 0.004408","mean: 0.207495, var: 0.001283","mean: 0.341797, var: 0.001177","mean: 0.031786, var: 0.000406",3.0385738062623173,0.12823535612127124,2.910338450141046,Moderate
ENSP00000417570,"mean: 0.335400, var: 0.003491","mean: 0.318945, var: 0.000798","mean: 0.162012, var: 0.001401","mean: 0.754395, var: 0.000618","mean: 0.355127, var: 0.003845","mean: 0.253491, var: 0.004676","mean: 0.019782, var: 0.000209","mean: 0.259692, var: 0.001913","mean: 0.270068, var: 0.004408","mean: 0.358545, var: 0.003541","mean: 0.056403, var: 0.001048",3.265128637600965,0.15051690646394192,3.1146117311370234,Moderate
