ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Expected_Entropy,Mutual_Information,Uncertainty_Level
ENSP00000505728,"mean: 0.055478, var: 0.000317","mean: 0.262891, var: 0.002481","mean: 0.845313, var: 0.010377","mean: 0.127618, var: 0.002612","mean: 0.053253, var: 0.000606","mean: 0.120392, var: 0.006191","mean: 0.009851, var: 0.000104","mean: 0.085510, var: 0.000421","mean: 0.034566, var: 0.000131","mean: 0.042407, var: 0.000556","mean: 0.012624, var: 0.000199",1.8888078871518414,0.12760680576837155,1.76120108138347,Low
ENSP00000493871,"mean: 0.041309, var: 0.000011","mean: 0.515479, var: 0.003357","mean: 0.896973, var: 0.001412","mean: 0.061675, var: 0.000929","mean: 0.058813, var: 0.000143","mean: 0.116003, var: 0.002045","mean: 0.026569, var: 0.000210","mean: 0.049902, var: 0.000117","mean: 0.028757, var: 0.000091","mean: 0.029449, var: 0.000143","mean: 0.013790, var: 0.000350",1.6700215244940204,0.056671406281704736,1.6133501182123158,Low
ENSP00000490913,"mean: 0.090247, var: 0.000234","mean: 0.598193, var: 0.006972","mean: 0.718359, var: 0.002288","mean: 0.051996, var: 0.001200","mean: 0.130652, var: 0.002450","mean: 0.159961, var: 0.001576","mean: 0.034536, var: 0.001264","mean: 0.034152, var: 0.000149","mean: 0.033496, var: 0.000150","mean: 0.072595, var: 0.001352","mean: 0.108063, var: 0.001879",2.251060129630568,0.11525544333939405,2.135804686291174,Low
ENSP00000490728,"mean: 0.037903, var: 0.000019","mean: 0.491260, var: 0.003630","mean: 0.911621, var: 0.001763","mean: 0.062758, var: 0.000934","mean: 0.060815, var: 0.000211","mean: 0.116394, var: 0.002339","mean: 0.029573, var: 0.000369","mean: 0.035504, var: 0.000051","mean: 0.025073, var: 0.000105","mean: 0.022884, var: 0.000125","mean: 0.012658, var: 0.000335",1.6087444237146553,0.06243320353125274,1.5463112201834026,Low
ENSP00000490116,"mean: 0.068774, var: 0.000097","mean: 0.369189, var: 0.004067","mean: 0.868945, var: 0.002169","mean: 0.165381, var: 0.009053","mean: 0.100256, var: 0.000271","mean: 0.158630, var: 0.003177","mean: 0.026004, var: 0.000601","mean: 0.039844, var: 0.000038","mean: 0.011745, var: 0.000031","mean: 0.035550, var: 0.000106","mean: 0.026196, var: 0.001075",1.9838499888241978,0.11314547148692787,1.87070451733727,Low
ENSP00000484669,"mean: 0.159692, var: 0.003349","mean: 0.360889, var: 0.002472","mean: 0.835645, var: 0.005881","mean: 0.061841, var: 0.000131","mean: 0.058447, var: 0.000798","mean: 0.106543, var: 0.001970","mean: 0.004029, var: 0.000016","mean: 0.220862, var: 0.009310","mean: 0.154712, var: 0.005411","mean: 0.270654, var: 0.010496","mean: 0.009951, var: 0.000183",2.4315511789765356,0.20462613915396705,2.2269250398225684,Low
ENSP00000480219,"mean: 0.037262, var: 0.000074","mean: 0.270020, var: 0.002246","mean: 0.906055, var: 0.003646","mean: 0.127625, var: 0.001749","mean: 0.030438, var: 0.000111","mean: 0.111926, var: 0.001459","mean: 0.005303, var: 0.000035","mean: 0.046771, var: 0.000108","mean: 0.022113, var: 0.000052","mean: 0.031401, var: 0.000355","mean: 0.011374, var: 0.000176",1.5945304202454498,0.06271830675027101,1.5318121134951788,Low
ENSP00000418408,"mean: 0.050043, var: 0.000089","mean: 0.398584, var: 0.002277","mean: 0.760547, var: 0.001556","mean: 0.071655, var: 0.001936","mean: 0.036267, var: 0.000103","mean: 0.107263, var: 0.003051","mean: 0.072040, var: 0.002585","mean: 0.081317, var: 0.000419","mean: 0.015306, var: 0.000058","mean: 0.063702, var: 0.000593","mean: 0.024717, var: 0.000885",1.9977064965582194,0.08531961985693857,1.9123868767012808,Low
ENSP00000384215,"mean: 0.047064, var: 0.000207","mean: 0.182471, var: 0.001504","mean: 0.914551, var: 0.001727","mean: 0.021107, var: 0.000141","mean: 0.037430, var: 0.000118","mean: 0.194055, var: 0.003689","mean: 0.016647, var: 0.000250","mean: 0.034848, var: 0.000045","mean: 0.041486, var: 0.000042","mean: 0.035066, var: 0.000554","mean: 0.071185, var: 0.001994",1.681292968363904,0.06500548086566688,1.6162874874982371,Low
ENSP00000377634,"mean: 0.062030, var: 0.000123","mean: 0.366113, var: 0.002950","mean: 0.862305, var: 0.001199","mean: 0.039783, var: 0.000734","mean: 0.043060, var: 0.000047","mean: 0.069733, var: 0.001801","mean: 0.008156, var: 0.000077","mean: 0.059137, var: 0.000104","mean: 0.013263, var: 0.000026","mean: 0.023698, var: 0.000094","mean: 0.012257, var: 0.000121",1.5239090837402438,0.04742309465905015,1.4764859890811937,Low
