ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000496878,"mean: 0.704785, var: 0.011179","mean: 0.231616, var: 0.000106","mean: 0.099146, var: 0.000175","mean: 0.426123, var: 0.019279","mean: 0.670898, var: 0.011501","mean: 0.151440, var: 0.003597","mean: 0.011735, var: 0.000051","mean: 0.238110, var: 0.000485","mean: 0.428467, var: 0.003522","mean: 0.334277, var: 0.001043","mean: 0.079266, var: 0.001010",3.055858725332463,High
ENSP00000496254,"mean: 0.406885, var: 0.005953","mean: 0.705371, var: 0.002724","mean: 0.225854, var: 0.001771","mean: 0.083551, var: 0.001081","mean: 0.406592, var: 0.007838","mean: 0.182568, var: 0.002162","mean: 0.007224, var: 0.000030","mean: 0.172571, var: 0.002599","mean: 0.227075, var: 0.000788","mean: 0.244482, var: 0.003366","mean: 0.046127, var: 0.001277",2.9936429282305346,High
ENSP00000495099,"mean: 0.302295, var: 0.000636","mean: 0.627246, var: 0.001610","mean: 0.445898, var: 0.002351","mean: 0.113281, var: 0.000324","mean: 0.207056, var: 0.001021","mean: 0.178638, var: 0.000788","mean: 0.025984, var: 0.000161","mean: 0.297583, var: 0.004191","mean: 0.334082, var: 0.010708","mean: 0.507275, var: 0.006411","mean: 0.037766, var: 0.000736",3.184644707154397,High
ENSP00000478783,"mean: 0.288916, var: 0.001380","mean: 0.436426, var: 0.002259","mean: 0.526758, var: 0.003976","mean: 0.070581, var: 0.001293","mean: 0.139685, var: 0.000484","mean: 0.125732, var: 0.001244","mean: 0.019430, var: 0.000161","mean: 0.201575, var: 0.005120","mean: 0.193781, var: 0.006062","mean: 0.375488, var: 0.003080","mean: 0.029559, var: 0.001186",2.9703225667099415,High
ENSP00000466285,"mean: 0.289185, var: 0.001956","mean: 0.564160, var: 0.009954","mean: 0.321289, var: 0.000295","mean: 0.348779, var: 0.018097","mean: 0.269043, var: 0.003211","mean: 0.416309, var: 0.004380","mean: 0.008372, var: 0.000056","mean: 0.203101, var: 0.002979","mean: 0.067725, var: 0.000017","mean: 0.135107, var: 0.000754","mean: 0.027809, var: 0.000972",3.0481386122407255,High
ENSP00000453443,"mean: 0.292871, var: 0.003109","mean: 0.646875, var: 0.001347","mean: 0.383496, var: 0.005402","mean: 0.101776, var: 0.001965","mean: 0.363428, var: 0.006093","mean: 0.181738, var: 0.001008","mean: 0.005099, var: 0.000024","mean: 0.186035, var: 0.006998","mean: 0.125232, var: 0.000218","mean: 0.169165, var: 0.001596","mean: 0.025407, var: 0.000391",2.9131647197004136,High
ENSP00000431179,"mean: 0.313062, var: 0.009979","mean: 0.662402, var: 0.006078","mean: 0.360645, var: 0.002940","mean: 0.130927, var: 0.005277","mean: 0.333472, var: 0.018499","mean: 0.170996, var: 0.001322","mean: 0.024564, var: 0.000314","mean: 0.168701, var: 0.001836","mean: 0.214722, var: 0.002805","mean: 0.477979, var: 0.002397","mean: 0.069653, var: 0.000456",3.1986318737652315,High
ENSP00000431129,"mean: 0.381641, var: 0.001155","mean: 0.712305, var: 0.003111","mean: 0.231567, var: 0.002703","mean: 0.071393, var: 0.000936","mean: 0.331177, var: 0.004061","mean: 0.262842, var: 0.002289","mean: 0.004204, var: 0.000009","mean: 0.290210, var: 0.004408","mean: 0.207495, var: 0.001283","mean: 0.341797, var: 0.001177","mean: 0.031786, var: 0.000406",3.0385738062623173,High
ENSP00000417570,"mean: 0.335400, var: 0.003491","mean: 0.318945, var: 0.000798","mean: 0.162012, var: 0.001401","mean: 0.754395, var: 0.000618","mean: 0.355127, var: 0.003845","mean: 0.253491, var: 0.004676","mean: 0.019782, var: 0.000209","mean: 0.259692, var: 0.001913","mean: 0.270068, var: 0.004408","mean: 0.358545, var: 0.003541","mean: 0.056403, var: 0.001048",3.265128637600965,High
ENSP00000414689,"mean: 0.295728, var: 0.006282","mean: 0.280762, var: 0.001306","mean: 0.259277, var: 0.000360","mean: 0.747070, var: 0.002082","mean: 0.384302, var: 0.022821","mean: 0.173389, var: 0.003089","mean: 0.010610, var: 0.000111","mean: 0.236572, var: 0.002112","mean: 0.124207, var: 0.000670","mean: 0.183325, var: 0.000960","mean: 0.022266, var: 0.000287",3.0001383507625965,High
ENSP00000414510,"mean: 0.279346, var: 0.004143","mean: 0.752539, var: 0.014452","mean: 0.254419, var: 0.002767","mean: 0.270044, var: 0.016881","mean: 0.305615, var: 0.002824","mean: 0.217163, var: 0.001280","mean: 0.017946, var: 0.000166","mean: 0.160083, var: 0.000558","mean: 0.233398, var: 0.002956","mean: 0.462109, var: 0.002198","mean: 0.033385, var: 0.001427",3.141142684865213,High
ENSP00000412763,"mean: 0.716357, var: 0.019575","mean: 0.240625, var: 0.000281","mean: 0.118518, var: 0.000242","mean: 0.345654, var: 0.018667","mean: 0.664893, var: 0.025717","mean: 0.141394, var: 0.003868","mean: 0.032751, var: 0.000053","mean: 0.220190, var: 0.002733","mean: 0.384473, var: 0.015292","mean: 0.378955, var: 0.001537","mean: 0.069620, var: 0.000978",3.1155663909938425,High
ENSP00000410157,"mean: 0.265674, var: 0.004511","mean: 0.527881, var: 0.003472","mean: 0.464648, var: 0.006012","mean: 0.043033, var: 0.001073","mean: 0.272681, var: 0.005104","mean: 0.124329, var: 0.000824","mean: 0.015127, var: 0.000187","mean: 0.208569, var: 0.002709","mean: 0.283936, var: 0.010792","mean: 0.288086, var: 0.000077","mean: 0.006624, var: 0.000081",2.9340184973830223,High
ENSP00000409472,"mean: 0.288794, var: 0.001559","mean: 0.428076, var: 0.004286","mean: 0.393604, var: 0.003150","mean: 0.314063, var: 0.003211","mean: 0.201343, var: 0.000288","mean: 0.290625, var: 0.006624","mean: 0.068558, var: 0.002011","mean: 0.280103, var: 0.002950","mean: 0.246338, var: 0.003203","mean: 0.322559, var: 0.001237","mean: 0.230804, var: 0.040360",3.7231639203235942,High
ENSP00000407046,"mean: 0.815332, var: 0.001952","mean: 0.317871, var: 0.002785","mean: 0.153882, var: 0.002359","mean: 0.072925, var: 0.001240","mean: 0.528271, var: 0.005348","mean: 0.145227, var: 0.004233","mean: 0.016694, var: 0.000184","mean: 0.452197, var: 0.003266","mean: 0.399463, var: 0.006537","mean: 0.551318, var: 0.003298","mean: 0.049475, var: 0.000070",2.897818280113319,High
ENSP00000400217,"mean: 0.262305, var: 0.003031","mean: 0.260937, var: 0.000425","mean: 0.146155, var: 0.000946","mean: 0.862793, var: 0.002405","mean: 0.299292, var: 0.005278","mean: 0.169153, var: 0.007350","mean: 0.015447, var: 0.000129","mean: 0.293896, var: 0.005778","mean: 0.268140, var: 0.007342","mean: 0.298999, var: 0.003090","mean: 0.039011, var: 0.000614",3.036390723214098,High
ENSP00000386239,"mean: 0.156628, var: 0.001324","mean: 0.557568, var: 0.006748","mean: 0.608398, var: 0.006036","mean: 0.130194, var: 0.001989","mean: 0.167749, var: 0.002696","mean: 0.361011, var: 0.003799","mean: 0.004023, var: 0.000021","mean: 0.187231, var: 0.003086","mean: 0.101379, var: 0.000427","mean: 0.144202, var: 0.001262","mean: 0.039600, var: 0.001629",2.8261815728449045,High
ENSP00000382269,"mean: 0.278735, var: 0.002036","mean: 0.665918, var: 0.003644","mean: 0.524609, var: 0.007258","mean: 0.055547, var: 0.001800","mean: 0.195142, var: 0.001044","mean: 0.221582, var: 0.001313","mean: 0.076666, var: 0.003226","mean: 0.201416, var: 0.004889","mean: 0.269934, var: 0.023361","mean: 0.208911, var: 0.001631","mean: 0.020864, var: 0.000549",3.059612547403191,High
ENSP00000380888,"mean: 0.195288, var: 0.001521","mean: 0.608789, var: 0.007676","mean: 0.617090, var: 0.015189","mean: 0.029522, var: 0.000819","mean: 0.106531, var: 0.000423","mean: 0.331787, var: 0.003009","mean: 0.021912, var: 0.000198","mean: 0.165137, var: 0.000813","mean: 0.300366, var: 0.001953","mean: 0.204248, var: 0.004735","mean: 0.080710, var: 0.004072",2.897550583768178,High
ENSP00000379083,"mean: 0.312915, var: 0.009113","mean: 0.629687, var: 0.009693","mean: 0.412109, var: 0.006004","mean: 0.384790, var: 0.047246","mean: 0.305957, var: 0.008407","mean: 0.231665, var: 0.001182","mean: 0.029465, var: 0.000608","mean: 0.090320, var: 0.000294","mean: 0.052625, var: 0.000830","mean: 0.150037, var: 0.000789","mean: 0.038292, var: 0.000219",2.974270384676565,High
ENSP00000374443,"mean: 0.320850, var: 0.000888","mean: 0.544775, var: 0.005506","mean: 0.407080, var: 0.000476","mean: 0.081070, var: 0.000828","mean: 0.251904, var: 0.002736","mean: 0.200940, var: 0.008973","mean: 0.031117, var: 0.000293","mean: 0.269409, var: 0.007932","mean: 0.301709, var: 0.006941","mean: 0.379932, var: 0.001610","mean: 0.061987, var: 0.005780",3.2978353998450434,High
ENSP00000366757,"mean: 0.367676, var: 0.001926","mean: 0.798145, var: 0.002358","mean: 0.162231, var: 0.003024","mean: 0.063324, var: 0.000721","mean: 0.411572, var: 0.004968","mean: 0.192114, var: 0.001085","mean: 0.005903, var: 0.000014","mean: 0.208691, var: 0.002389","mean: 0.204883, var: 0.000646","mean: 0.344727, var: 0.000316","mean: 0.025937, var: 0.000342",2.8438950413537665,High
ENSP00000364003,"mean: 0.350220, var: 0.008770","mean: 0.624902, var: 0.001605","mean: 0.399316, var: 0.003972","mean: 0.073810, var: 0.001624","mean: 0.414453, var: 0.006460","mean: 0.255078, var: 0.001416","mean: 0.010527, var: 0.000021","mean: 0.230444, var: 0.009095","mean: 0.223633, var: 0.007190","mean: 0.226611, var: 0.003780","mean: 0.055801, var: 0.000745",3.1522941066330032,High
ENSP00000363891,"mean: 0.853320, var: 0.002377","mean: 0.149683, var: 0.000130","mean: 0.120154, var: 0.000200","mean: 0.073691, var: 0.005331","mean: 0.561133, var: 0.004584","mean: 0.208472, var: 0.003086","mean: 0.023443, var: 0.000874","mean: 0.420752, var: 0.013295","mean: 0.433887, var: 0.010481","mean: 0.438379, var: 0.005587","mean: 0.038742, var: 0.000612",2.8194940600486076,High
ENSP00000362580,"mean: 0.360449, var: 0.010293","mean: 0.669336, var: 0.002124","mean: 0.306250, var: 0.001306","mean: 0.101306, var: 0.001865","mean: 0.518848, var: 0.013514","mean: 0.187732, var: 0.002587","mean: 0.007873, var: 0.000024","mean: 0.111243, var: 0.000244","mean: 0.210205, var: 0.003502","mean: 0.177136, var: 0.001821","mean: 0.047449, var: 0.000884",2.946847791755678,High
ENSP00000357206,"mean: 0.189392, var: 0.005435","mean: 0.660742, var: 0.009499","mean: 0.395361, var: 0.002998","mean: 0.242944, var: 0.004992","mean: 0.193982, var: 0.005910","mean: 0.263977, var: 0.010383","mean: 0.005566, var: 0.000040","mean: 0.121033, var: 0.001870","mean: 0.197803, var: 0.004338","mean: 0.353857, var: 0.010283","mean: 0.036031, var: 0.001401",3.0616531432423058,High
ENSP00000353010,"mean: 0.520703, var: 0.001360","mean: 0.451660, var: 0.004942","mean: 0.312012, var: 0.001885","mean: 0.069916, var: 0.000269","mean: 0.250464, var: 0.002227","mean: 0.591895, var: 0.003213","mean: 0.031541, var: 0.000388","mean: 0.395459, var: 0.006008","mean: 0.374756, var: 0.008254","mean: 0.520459, var: 0.007756","mean: 0.048659, var: 0.002006",3.2360414551448162,High
ENSP00000352794,"mean: 0.412549, var: 0.005515","mean: 0.665527, var: 0.004760","mean: 0.318945, var: 0.003483","mean: 0.193787, var: 0.005306","mean: 0.452002, var: 0.008426","mean: 0.181750, var: 0.004364","mean: 0.033653, var: 0.000186","mean: 0.391943, var: 0.013279","mean: 0.266968, var: 0.013178","mean: 0.536377, var: 0.015068","mean: 0.068825, var: 0.001652",3.3396791086265356,High
ENSP00000348564,"mean: 0.204858, var: 0.000483","mean: 0.602637, var: 0.005556","mean: 0.441162, var: 0.002583","mean: 0.140503, var: 0.002232","mean: 0.137854, var: 0.001132","mean: 0.237427, var: 0.005902","mean: 0.007655, var: 0.000069","mean: 0.318848, var: 0.012845","mean: 0.199731, var: 0.001525","mean: 0.332471, var: 0.006316","mean: 0.109863, var: 0.004730",3.213543287482083,High
ENSP00000344383,"mean: 0.302783, var: 0.000689","mean: 0.626172, var: 0.001704","mean: 0.435400, var: 0.002194","mean: 0.121021, var: 0.000466","mean: 0.207520, var: 0.000914","mean: 0.173682, var: 0.000778","mean: 0.024191, var: 0.000129","mean: 0.298999, var: 0.004906","mean: 0.332422, var: 0.010532","mean: 0.510938, var: 0.007249","mean: 0.034285, var: 0.000648",3.1787203645459416,High
ENSP00000301607,"mean: 0.209912, var: 0.000316","mean: 0.644824, var: 0.009116","mean: 0.393115, var: 0.000923","mean: 0.151892, var: 0.001661","mean: 0.197168, var: 0.001862","mean: 0.186450, var: 0.000064","mean: 0.022210, var: 0.000107","mean: 0.085193, var: 0.000885","mean: 0.195752, var: 0.002117","mean: 0.276758, var: 0.002461","mean: 0.027851, var: 0.001008",2.966094650023991,High
ENSP00000300648,"mean: 0.378809, var: 0.000852","mean: 0.533936, var: 0.018673","mean: 0.586133, var: 0.003545","mean: 0.028284, var: 0.000327","mean: 0.257178, var: 0.006963","mean: 0.437256, var: 0.001669","mean: 0.095331, var: 0.002421","mean: 0.213965, var: 0.004606","mean: 0.218750, var: 0.002757","mean: 0.276904, var: 0.006165","mean: 0.097500, var: 0.010874",3.296660752418045,High
ENSP00000294383,"mean: 0.208643, var: 0.000132","mean: 0.646973, var: 0.009876","mean: 0.549561, var: 0.011071","mean: 0.083636, var: 0.001414","mean: 0.213062, var: 0.002366","mean: 0.122034, var: 0.001680","mean: 0.025977, var: 0.000401","mean: 0.151416, var: 0.000564","mean: 0.231348, var: 0.003587","mean: 0.322314, var: 0.001772","mean: 0.023578, var: 0.000919",2.90393849836007,High
ENSP00000280758,"mean: 0.261475, var: 0.002577","mean: 0.544727, var: 0.002071","mean: 0.503662, var: 0.005940","mean: 0.056033, var: 0.001030","mean: 0.260449, var: 0.004987","mean: 0.108093, var: 0.001390","mean: 0.015521, var: 0.000226","mean: 0.197559, var: 0.001035","mean: 0.283496, var: 0.020033","mean: 0.322168, var: 0.002822","mean: 0.009874, var: 0.000180",2.9323544043759355,High
ENSP00000264868,"mean: 0.796777, var: 0.004701","mean: 0.223145, var: 0.000119","mean: 0.160400, var: 0.000424","mean: 0.143427, var: 0.006632","mean: 0.421387, var: 0.005658","mean: 0.286353, var: 0.004754","mean: 0.041907, var: 0.000806","mean: 0.654883, var: 0.004611","mean: 0.316455, var: 0.003435","mean: 0.448975, var: 0.001309","mean: 0.157849, var: 0.002635",3.235240740853204,High
ENSP00000261609,"mean: 0.217480, var: 0.000490","mean: 0.597461, var: 0.004128","mean: 0.547266, var: 0.001562","mean: 0.091333, var: 0.001786","mean: 0.127771, var: 0.000145","mean: 0.278271, var: 0.005770","mean: 0.069102, var: 0.003881","mean: 0.161816, var: 0.000490","mean: 0.254004, var: 0.002631","mean: 0.269360, var: 0.004790","mean: 0.070667, var: 0.005522",3.1748885200930985,High
ENSP00000244007,"mean: 0.437988, var: 0.012514","mean: 0.657129, var: 0.002482","mean: 0.393823, var: 0.015401","mean: 0.072620, var: 0.001695","mean: 0.470459, var: 0.014300","mean: 0.160547, var: 0.003072","mean: 0.007230, var: 0.000038","mean: 0.154736, var: 0.000681","mean: 0.265259, var: 0.001405","mean: 0.265869, var: 0.000751","mean: 0.012571, var: 0.000182",2.9269644194073554,High
ENSP00000416033,"mean: 0.116650, var: 0.000932","mean: 0.695020, var: 0.017194","mean: 0.371826, var: 0.002193","mean: 0.279736, var: 0.009142","mean: 0.156921, var: 0.002077","mean: 0.209814, var: 0.008401","mean: 0.011782, var: 0.000147","mean: 0.148242, var: 0.001832","mean: 0.094470, var: 0.000123","mean: 0.156372, var: 0.000130","mean: 0.062793, var: 0.000316",2.8681223291235116,High
ENSP00000364042,"mean: 0.686328, var: 0.009689","mean: 0.243433, var: 0.000335","mean: 0.135901, var: 0.000580","mean: 0.517676, var: 0.010631","mean: 0.649170, var: 0.016262","mean: 0.115393, var: 0.001089","mean: 0.007146, var: 0.000036","mean: 0.298267, var: 0.002942","mean: 0.448047, var: 0.004755","mean: 0.414062, var: 0.004669","mean: 0.031138, var: 0.000286",2.9730057641153205,High
