ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000505728,"mean: 0.055478, var: 0.000317","mean: 0.262891, var: 0.002481","mean: 0.845313, var: 0.010377","mean: 0.127618, var: 0.002612","mean: 0.053253, var: 0.000606","mean: 0.120392, var: 0.006191","mean: 0.009851, var: 0.000104","mean: 0.085510, var: 0.000421","mean: 0.034566, var: 0.000131","mean: 0.042407, var: 0.000556","mean: 0.012624, var: 0.000199",1.8888078871518414,Low
ENSP00000493871,"mean: 0.041309, var: 0.000011","mean: 0.515479, var: 0.003357","mean: 0.896973, var: 0.001412","mean: 0.061675, var: 0.000929","mean: 0.058813, var: 0.000143","mean: 0.116003, var: 0.002045","mean: 0.026569, var: 0.000210","mean: 0.049902, var: 0.000117","mean: 0.028757, var: 0.000091","mean: 0.029449, var: 0.000143","mean: 0.013790, var: 0.000350",1.6700215244940204,Low
ENSP00000490728,"mean: 0.037903, var: 0.000019","mean: 0.491260, var: 0.003630","mean: 0.911621, var: 0.001763","mean: 0.062758, var: 0.000934","mean: 0.060815, var: 0.000211","mean: 0.116394, var: 0.002339","mean: 0.029573, var: 0.000369","mean: 0.035504, var: 0.000051","mean: 0.025073, var: 0.000105","mean: 0.022884, var: 0.000125","mean: 0.012658, var: 0.000335",1.6087444237146553,Low
ENSP00000480219,"mean: 0.037262, var: 0.000074","mean: 0.270020, var: 0.002246","mean: 0.906055, var: 0.003646","mean: 0.127625, var: 0.001749","mean: 0.030438, var: 0.000111","mean: 0.111926, var: 0.001459","mean: 0.005303, var: 0.000035","mean: 0.046771, var: 0.000108","mean: 0.022113, var: 0.000052","mean: 0.031401, var: 0.000355","mean: 0.011374, var: 0.000176",1.5945304202454498,Low
ENSP00000384215,"mean: 0.047064, var: 0.000207","mean: 0.182471, var: 0.001504","mean: 0.914551, var: 0.001727","mean: 0.021107, var: 0.000141","mean: 0.037430, var: 0.000118","mean: 0.194055, var: 0.003689","mean: 0.016647, var: 0.000250","mean: 0.034848, var: 0.000045","mean: 0.041486, var: 0.000042","mean: 0.035066, var: 0.000554","mean: 0.071185, var: 0.001994",1.681292968363904,Low
ENSP00000377634,"mean: 0.062030, var: 0.000123","mean: 0.366113, var: 0.002950","mean: 0.862305, var: 0.001199","mean: 0.039783, var: 0.000734","mean: 0.043060, var: 0.000047","mean: 0.069733, var: 0.001801","mean: 0.008156, var: 0.000077","mean: 0.059137, var: 0.000104","mean: 0.013263, var: 0.000026","mean: 0.023698, var: 0.000094","mean: 0.012257, var: 0.000121",1.5239090837402438,Low
ENSP00000363642,"mean: 0.066278, var: 0.000553","mean: 0.257495, var: 0.000921","mean: 0.749219, var: 0.003508","mean: 0.030463, var: 0.000272","mean: 0.071954, var: 0.000547","mean: 0.144800, var: 0.000385","mean: 0.004829, var: 0.000022","mean: 0.140466, var: 0.001389","mean: 0.037280, var: 0.000914","mean: 0.051263, var: 0.000417","mean: 0.007482, var: 0.000092",1.9340760500784533,Low
ENSP00000262376,"mean: 0.043585, var: 0.000092","mean: 0.271851, var: 0.000539","mean: 0.890039, var: 0.001623","mean: 0.078537, var: 0.002455","mean: 0.031726, var: 0.000030","mean: 0.093217, var: 0.003236","mean: 0.009528, var: 0.000105","mean: 0.051093, var: 0.000113","mean: 0.054568, var: 0.001247","mean: 0.030298, var: 0.000270","mean: 0.016826, var: 0.000364",1.6544663092146312,Low
ENSP00000247087,"mean: 0.051758, var: 0.000066","mean: 0.408154, var: 0.002147","mean: 0.882324, var: 0.002272","mean: 0.047303, var: 0.001363","mean: 0.049670, var: 0.000085","mean: 0.128986, var: 0.007373","mean: 0.007251, var: 0.000064","mean: 0.058740, var: 0.000175","mean: 0.022443, var: 0.000054","mean: 0.035802, var: 0.000127","mean: 0.011693, var: 0.000247",1.6457773227578245,Low
ENSP00000313624,"mean: 0.067230, var: 0.000078","mean: 0.237476, var: 0.001325","mean: 0.879492, var: 0.004822","mean: 0.056856, var: 0.001213","mean: 0.044696, var: 0.000099","mean: 0.105756, var: 0.003182","mean: 0.006639, var: 0.000046","mean: 0.046674, var: 0.000335","mean: 0.066577, var: 0.000088","mean: 0.050314, var: 0.000739","mean: 0.034625, var: 0.000711",1.7989459208490037,Low
