ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000507895,"mean: 0.249707, var: 0.006017","mean: 0.625342, var: 0.009535","mean: 0.474219, var: 0.010404","mean: 0.396790, var: 0.054930","mean: 0.220154, var: 0.004576","mean: 0.168896, var: 0.002625","mean: 0.025079, var: 0.000486","mean: 0.078632, var: 0.000584","mean: 0.032325, var: 0.000304","mean: 0.152051, var: 0.001421","mean: 0.017948, var: 0.000081",2.756052782677855,Moderate
ENSP00000490913,"mean: 0.090247, var: 0.000234","mean: 0.598193, var: 0.006972","mean: 0.718359, var: 0.002288","mean: 0.051996, var: 0.001200","mean: 0.130652, var: 0.002450","mean: 0.159961, var: 0.001576","mean: 0.034536, var: 0.001264","mean: 0.034152, var: 0.000149","mean: 0.033496, var: 0.000150","mean: 0.072595, var: 0.001352","mean: 0.108063, var: 0.001879",2.251060129630568,Moderate
ENSP00000490116,"mean: 0.068774, var: 0.000097","mean: 0.369189, var: 0.004067","mean: 0.868945, var: 0.002169","mean: 0.165381, var: 0.009053","mean: 0.100256, var: 0.000271","mean: 0.158630, var: 0.003177","mean: 0.026004, var: 0.000601","mean: 0.039844, var: 0.000038","mean: 0.011745, var: 0.000031","mean: 0.035550, var: 0.000106","mean: 0.026196, var: 0.001075",1.9838499888241978,Moderate
ENSP00000484669,"mean: 0.159692, var: 0.003349","mean: 0.360889, var: 0.002472","mean: 0.835645, var: 0.005881","mean: 0.061841, var: 0.000131","mean: 0.058447, var: 0.000798","mean: 0.106543, var: 0.001970","mean: 0.004029, var: 0.000016","mean: 0.220862, var: 0.009310","mean: 0.154712, var: 0.005411","mean: 0.270654, var: 0.010496","mean: 0.009951, var: 0.000183",2.4315511789765356,Moderate
ENSP00000418408,"mean: 0.050043, var: 0.000089","mean: 0.398584, var: 0.002277","mean: 0.760547, var: 0.001556","mean: 0.071655, var: 0.001936","mean: 0.036267, var: 0.000103","mean: 0.107263, var: 0.003051","mean: 0.072040, var: 0.002585","mean: 0.081317, var: 0.000419","mean: 0.015306, var: 0.000058","mean: 0.063702, var: 0.000593","mean: 0.024717, var: 0.000885",1.9977064965582194,Moderate
ENSP00000395538,"mean: 0.085461, var: 0.001802","mean: 0.586182, var: 0.018176","mean: 0.505322, var: 0.004035","mean: 0.264178, var: 0.021687","mean: 0.187341, var: 0.013660","mean: 0.206970, var: 0.007402","mean: 0.012989, var: 0.000338","mean: 0.286902, var: 0.031634","mean: 0.012213, var: 0.000106","mean: 0.062036, var: 0.000999","mean: 0.022087, var: 0.000115",2.584776677094503,Moderate
ENSP00000387070,"mean: 0.164819, var: 0.000230","mean: 0.732422, var: 0.001986","mean: 0.497168, var: 0.005082","mean: 0.047496, var: 0.001720","mean: 0.136121, var: 0.000418","mean: 0.113470, var: 0.001097","mean: 0.007542, var: 0.000040","mean: 0.162891, var: 0.000283","mean: 0.090488, var: 0.003362","mean: 0.228491, var: 0.006274","mean: 0.021805, var: 0.000133",2.5063620545818446,Moderate
ENSP00000381170,"mean: 0.266919, var: 0.004683","mean: 0.765430, var: 0.003181","mean: 0.473779, var: 0.003124","mean: 0.047232, var: 0.000797","mean: 0.303345, var: 0.005127","mean: 0.148657, var: 0.003347","mean: 0.008672, var: 0.000079","mean: 0.124316, var: 0.000710","mean: 0.137769, var: 0.000962","mean: 0.223096, var: 0.000291","mean: 0.053912, var: 0.001545",2.76604657540413,Moderate
ENSP00000356716,"mean: 0.104773, var: 0.000282","mean: 0.675098, var: 0.003764","mean: 0.574756, var: 0.005796","mean: 0.073932, var: 0.003109","mean: 0.090436, var: 0.000600","mean: 0.067426, var: 0.000969","mean: 0.012165, var: 0.000162","mean: 0.111682, var: 0.000563","mean: 0.058017, var: 0.000646","mean: 0.187988, var: 0.001839","mean: 0.023601, var: 0.000415",2.277883663476602,Moderate
ENSP00000355922,"mean: 0.101050, var: 0.000169","mean: 0.469385, var: 0.007404","mean: 0.768262, var: 0.002820","mean: 0.089563, var: 0.000885","mean: 0.071027, var: 0.000174","mean: 0.131061, var: 0.005388","mean: 0.021984, var: 0.000511","mean: 0.056891, var: 0.000410","mean: 0.040063, var: 0.000350","mean: 0.154321, var: 0.000668","mean: 0.025985, var: 0.000366",2.2185714303148236,Moderate
ENSP00000354828,"mean: 0.150037, var: 0.000905","mean: 0.510449, var: 0.008774","mean: 0.726953, var: 0.001216","mean: 0.064441, var: 0.000785","mean: 0.126660, var: 0.000169","mean: 0.373682, var: 0.002826","mean: 0.004628, var: 0.000022","mean: 0.119080, var: 0.000585","mean: 0.108258, var: 0.000981","mean: 0.112842, var: 0.000477","mean: 0.041204, var: 0.001571",2.5624828876056416,Moderate
ENSP00000352413,"mean: 0.837891, var: 0.002627","mean: 0.204028, var: 0.000422","mean: 0.121838, var: 0.000679","mean: 0.033936, var: 0.000868","mean: 0.702930, var: 0.013458","mean: 0.165894, var: 0.001210","mean: 0.020354, var: 0.000452","mean: 0.419580, var: 0.006696","mean: 0.251514, var: 0.004868","mean: 0.183228, var: 0.007632","mean: 0.029237, var: 0.000259",2.594629370685712,Moderate
ENSP00000351185,"mean: 0.108203, var: 0.000255","mean: 0.517090, var: 0.008104","mean: 0.557666, var: 0.006810","mean: 0.106848, var: 0.005820","mean: 0.056403, var: 0.000226","mean: 0.304077, var: 0.005625","mean: 0.018132, var: 0.000342","mean: 0.116199, var: 0.000174","mean: 0.059634, var: 0.000595","mean: 0.089435, var: 0.000729","mean: 0.026284, var: 0.000719",2.47297031135997,Moderate
ENSP00000328426,"mean: 0.074585, var: 0.000021","mean: 0.437988, var: 0.003765","mean: 0.731543, var: 0.002497","mean: 0.114703, var: 0.002948","mean: 0.065100, var: 0.000031","mean: 0.164404, var: 0.004795","mean: 0.027702, var: 0.000614","mean: 0.067151, var: 0.000161","mean: 0.048810, var: 0.000098","mean: 0.065887, var: 0.000282","mean: 0.038519, var: 0.001392",2.2396625922188957,Moderate
ENSP00000321813,"mean: 0.151367, var: 0.001160","mean: 0.523096, var: 0.009990","mean: 0.721094, var: 0.001192","mean: 0.059729, var: 0.000613","mean: 0.125122, var: 0.000308","mean: 0.383887, var: 0.005040","mean: 0.003599, var: 0.000013","mean: 0.115869, var: 0.000521","mean: 0.118109, var: 0.001331","mean: 0.121240, var: 0.000630","mean: 0.040166, var: 0.001585",2.563666660696661,Moderate
ENSP00000313933,"mean: 0.101526, var: 0.001451","mean: 0.435254, var: 0.005339","mean: 0.771875, var: 0.008458","mean: 0.025023, var: 0.000678","mean: 0.082498, var: 0.003221","mean: 0.145154, var: 0.004717","mean: 0.009075, var: 0.000073","mean: 0.058270, var: 0.000303","mean: 0.054184, var: 0.000229","mean: 0.089282, var: 0.000196","mean: 0.035295, var: 0.001174",2.0724194746682394,Moderate
ENSP00000297268,"mean: 0.212183, var: 0.002293","mean: 0.156311, var: 0.000683","mean: 0.129138, var: 0.000516","mean: 0.923828, var: 0.001169","mean: 0.185449, var: 0.001859","mean: 0.071790, var: 0.000811","mean: 0.016885, var: 0.000099","mean: 0.230591, var: 0.005680","mean: 0.085199, var: 0.000986","mean: 0.105719, var: 0.002174","mean: 0.004888, var: 0.000017",2.3387374472168423,Moderate
ENSP00000281282,"mean: 0.207837, var: 0.000320","mean: 0.722852, var: 0.007297","mean: 0.315405, var: 0.010907","mean: 0.054758, var: 0.001172","mean: 0.203955, var: 0.000209","mean: 0.114075, var: 0.002342","mean: 0.009237, var: 0.000106","mean: 0.112573, var: 0.000935","mean: 0.130371, var: 0.001525","mean: 0.360840, var: 0.004656","mean: 0.017036, var: 0.000221",2.647978476755869,Moderate
ENSP00000271636,"mean: 0.224658, var: 0.001329","mean: 0.667383, var: 0.007452","mean: 0.257275, var: 0.006477","mean: 0.088196, var: 0.002199","mean: 0.163452, var: 0.000173","mean: 0.131012, var: 0.002781","mean: 0.007416, var: 0.000053","mean: 0.118787, var: 0.002033","mean: 0.161072, var: 0.003298","mean: 0.329883, var: 0.002848","mean: 0.027632, var: 0.000210",2.779648851039191,Moderate
ENSP00000253048,"mean: 0.037820, var: 0.000257","mean: 0.364844, var: 0.004760","mean: 0.780957, var: 0.010144","mean: 0.291284, var: 0.012562","mean: 0.035414, var: 0.000337","mean: 0.055735, var: 0.001472","mean: 0.010463, var: 0.000046","mean: 0.083112, var: 0.000857","mean: 0.054791, var: 0.000198","mean: 0.096259, var: 0.001829","mean: 0.006867, var: 0.000066",1.996414009682815,Moderate
ENSP00000252996,"mean: 0.061749, var: 0.001011","mean: 0.441162, var: 0.000603","mean: 0.832910, var: 0.005803","mean: 0.127502, var: 0.002401","mean: 0.067700, var: 0.000571","mean: 0.073022, var: 0.001861","mean: 0.003157, var: 0.000013","mean: 0.052475, var: 0.000883","mean: 0.073076, var: 0.001417","mean: 0.097223, var: 0.001550","mean: 0.015232, var: 0.000368",1.975623572555343,Moderate
ENSP00000263773,"mean: 0.217310, var: 0.004001","mean: 0.388086, var: 0.000932","mean: 0.669141, var: 0.000355","mean: 0.025946, var: 0.000182","mean: 0.200012, var: 0.004208","mean: 0.094861, var: 0.000539","mean: 0.010611, var: 0.000072","mean: 0.205103, var: 0.002820","mean: 0.101209, var: 0.002221","mean: 0.229932, var: 0.003104","mean: 0.011037, var: 0.000209",2.6006743273326403,Moderate
ENSP00000355889,"mean: 0.224756, var: 0.001757","mean: 0.172363, var: 0.000435","mean: 0.147375, var: 0.000981","mean: 0.154712, var: 0.002551","mean: 0.112305, var: 0.000892","mean: 0.881055, var: 0.001178","mean: 0.027694, var: 0.000502","mean: 0.106110, var: 0.001398","mean: 0.075970, var: 0.000209","mean: 0.107544, var: 0.000857","mean: 0.082886, var: 0.002122",2.5459701852554573,Moderate
ENSP00000463929,"mean: 0.816504, var: 0.006592","mean: 0.175781, var: 0.000973","mean: 0.159839, var: 0.000177","mean: 0.020482, var: 0.000238","mean: 0.469092, var: 0.012325","mean: 0.181958, var: 0.002555","mean: 0.011262, var: 0.000079","mean: 0.479883, var: 0.001210","mean: 0.581152, var: 0.037294","mean: 0.483691, var: 0.015896","mean: 0.016566, var: 0.000340",2.6464862335122445,Moderate
ENSP00000416951,"mean: 0.168860, var: 0.016603","mean: 0.331445, var: 0.002792","mean: 0.622021, var: 0.027533","mean: 0.208813, var: 0.006350","mean: 0.219702, var: 0.026699","mean: 0.191528, var: 0.013017","mean: 0.002548, var: 0.000005","mean: 0.177979, var: 0.014881","mean: 0.033189, var: 0.000267","mean: 0.122705, var: 0.007349","mean: 0.007534, var: 0.000030",2.667962497584743,Moderate
ENSP00000507912,"mean: 0.159302, var: 0.002625","mean: 0.296045, var: 0.006910","mean: 0.682910, var: 0.015814","mean: 0.088586, var: 0.001273","mean: 0.123895, var: 0.005359","mean: 0.109222, var: 0.007340","mean: 0.010610, var: 0.000146","mean: 0.350049, var: 0.023853","mean: 0.055334, var: 0.000432","mean: 0.123022, var: 0.003451","mean: 0.035295, var: 0.001501",2.58038997922407,Moderate
