# Low Threshold: 1.962640
# High Threshold: 2.796045
# Counts - Low: 127, Moderate: 444, High: 1146
ACC,Membrane,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Predictive_Entropy,Uncertainty_Level
ENSP00000507895,"mean: 0.249707, var: 0.006017","mean: 0.625342, var: 0.009535","mean: 0.474219, var: 0.010404","mean: 0.396790, var: 0.054930","mean: 0.220154, var: 0.004576","mean: 0.168896, var: 0.002625","mean: 0.025079, var: 0.000486","mean: 0.078632, var: 0.000584","mean: 0.032325, var: 0.000304","mean: 0.152051, var: 0.001421","mean: 0.017948, var: 0.000081",2.756052782677855,Moderate
ENSP00000505728,"mean: 0.055478, var: 0.000317","mean: 0.262891, var: 0.002481","mean: 0.845313, var: 0.010377","mean: 0.127618, var: 0.002612","mean: 0.053253, var: 0.000606","mean: 0.120392, var: 0.006191","mean: 0.009851, var: 0.000104","mean: 0.085510, var: 0.000421","mean: 0.034566, var: 0.000131","mean: 0.042407, var: 0.000556","mean: 0.012624, var: 0.000199",1.8888078871518414,Low
ENSP00000496878,"mean: 0.704785, var: 0.011179","mean: 0.231616, var: 0.000106","mean: 0.099146, var: 0.000175","mean: 0.426123, var: 0.019279","mean: 0.670898, var: 0.011501","mean: 0.151440, var: 0.003597","mean: 0.011735, var: 0.000051","mean: 0.238110, var: 0.000485","mean: 0.428467, var: 0.003522","mean: 0.334277, var: 0.001043","mean: 0.079266, var: 0.001010",3.055858725332463,High
ENSP00000496254,"mean: 0.406885, var: 0.005953","mean: 0.705371, var: 0.002724","mean: 0.225854, var: 0.001771","mean: 0.083551, var: 0.001081","mean: 0.406592, var: 0.007838","mean: 0.182568, var: 0.002162","mean: 0.007224, var: 0.000030","mean: 0.172571, var: 0.002599","mean: 0.227075, var: 0.000788","mean: 0.244482, var: 0.003366","mean: 0.046127, var: 0.001277",2.9936429282305346,High
ENSP00000495099,"mean: 0.302295, var: 0.000636","mean: 0.627246, var: 0.001610","mean: 0.445898, var: 0.002351","mean: 0.113281, var: 0.000324","mean: 0.207056, var: 0.001021","mean: 0.178638, var: 0.000788","mean: 0.025984, var: 0.000161","mean: 0.297583, var: 0.004191","mean: 0.334082, var: 0.010708","mean: 0.507275, var: 0.006411","mean: 0.037766, var: 0.000736",3.184644707154397,High
ENSP00000493871,"mean: 0.041309, var: 0.000011","mean: 0.515479, var: 0.003357","mean: 0.896973, var: 0.001412","mean: 0.061675, var: 0.000929","mean: 0.058813, var: 0.000143","mean: 0.116003, var: 0.002045","mean: 0.026569, var: 0.000210","mean: 0.049902, var: 0.000117","mean: 0.028757, var: 0.000091","mean: 0.029449, var: 0.000143","mean: 0.013790, var: 0.000350",1.6700215244940204,Low
ENSP00000490913,"mean: 0.090247, var: 0.000234","mean: 0.598193, var: 0.006972","mean: 0.718359, var: 0.002288","mean: 0.051996, var: 0.001200","mean: 0.130652, var: 0.002450","mean: 0.159961, var: 0.001576","mean: 0.034536, var: 0.001264","mean: 0.034152, var: 0.000149","mean: 0.033496, var: 0.000150","mean: 0.072595, var: 0.001352","mean: 0.108063, var: 0.001879",2.251060129630568,Moderate
ENSP00000490728,"mean: 0.037903, var: 0.000019","mean: 0.491260, var: 0.003630","mean: 0.911621, var: 0.001763","mean: 0.062758, var: 0.000934","mean: 0.060815, var: 0.000211","mean: 0.116394, var: 0.002339","mean: 0.029573, var: 0.000369","mean: 0.035504, var: 0.000051","mean: 0.025073, var: 0.000105","mean: 0.022884, var: 0.000125","mean: 0.012658, var: 0.000335",1.6087444237146553,Low
ENSP00000490116,"mean: 0.068774, var: 0.000097","mean: 0.369189, var: 0.004067","mean: 0.868945, var: 0.002169","mean: 0.165381, var: 0.009053","mean: 0.100256, var: 0.000271","mean: 0.158630, var: 0.003177","mean: 0.026004, var: 0.000601","mean: 0.039844, var: 0.000038","mean: 0.011745, var: 0.000031","mean: 0.035550, var: 0.000106","mean: 0.026196, var: 0.001075",1.9838499888241978,Moderate
ENSP00000484669,"mean: 0.159692, var: 0.003349","mean: 0.360889, var: 0.002472","mean: 0.835645, var: 0.005881","mean: 0.061841, var: 0.000131","mean: 0.058447, var: 0.000798","mean: 0.106543, var: 0.001970","mean: 0.004029, var: 0.000016","mean: 0.220862, var: 0.009310","mean: 0.154712, var: 0.005411","mean: 0.270654, var: 0.010496","mean: 0.009951, var: 0.000183",2.4315511789765356,Moderate
ENSP00000480219,"mean: 0.037262, var: 0.000074","mean: 0.270020, var: 0.002246","mean: 0.906055, var: 0.003646","mean: 0.127625, var: 0.001749","mean: 0.030438, var: 0.000111","mean: 0.111926, var: 0.001459","mean: 0.005303, var: 0.000035","mean: 0.046771, var: 0.000108","mean: 0.022113, var: 0.000052","mean: 0.031401, var: 0.000355","mean: 0.011374, var: 0.000176",1.5945304202454498,Low
ENSP00000478783,"mean: 0.288916, var: 0.001380","mean: 0.436426, var: 0.002259","mean: 0.526758, var: 0.003976","mean: 0.070581, var: 0.001293","mean: 0.139685, var: 0.000484","mean: 0.125732, var: 0.001244","mean: 0.019430, var: 0.000161","mean: 0.201575, var: 0.005120","mean: 0.193781, var: 0.006062","mean: 0.375488, var: 0.003080","mean: 0.029559, var: 0.001186",2.9703225667099415,High
ENSP00000466285,"mean: 0.289185, var: 0.001956","mean: 0.564160, var: 0.009954","mean: 0.321289, var: 0.000295","mean: 0.348779, var: 0.018097","mean: 0.269043, var: 0.003211","mean: 0.416309, var: 0.004380","mean: 0.008372, var: 0.000056","mean: 0.203101, var: 0.002979","mean: 0.067725, var: 0.000017","mean: 0.135107, var: 0.000754","mean: 0.027809, var: 0.000972",3.0481386122407255,High
ENSP00000453443,"mean: 0.292871, var: 0.003109","mean: 0.646875, var: 0.001347","mean: 0.383496, var: 0.005402","mean: 0.101776, var: 0.001965","mean: 0.363428, var: 0.006093","mean: 0.181738, var: 0.001008","mean: 0.005099, var: 0.000024","mean: 0.186035, var: 0.006998","mean: 0.125232, var: 0.000218","mean: 0.169165, var: 0.001596","mean: 0.025407, var: 0.000391",2.9131647197004136,High
ENSP00000431179,"mean: 0.313062, var: 0.009979","mean: 0.662402, var: 0.006078","mean: 0.360645, var: 0.002940","mean: 0.130927, var: 0.005277","mean: 0.333472, var: 0.018499","mean: 0.170996, var: 0.001322","mean: 0.024564, var: 0.000314","mean: 0.168701, var: 0.001836","mean: 0.214722, var: 0.002805","mean: 0.477979, var: 0.002397","mean: 0.069653, var: 0.000456",3.1986318737652315,High
ENSP00000431129,"mean: 0.381641, var: 0.001155","mean: 0.712305, var: 0.003111","mean: 0.231567, var: 0.002703","mean: 0.071393, var: 0.000936","mean: 0.331177, var: 0.004061","mean: 0.262842, var: 0.002289","mean: 0.004204, var: 0.000009","mean: 0.290210, var: 0.004408","mean: 0.207495, var: 0.001283","mean: 0.341797, var: 0.001177","mean: 0.031786, var: 0.000406",3.0385738062623173,High
